Day,Date,Team A,Team B,TA player 1,TA player 2,TA player 3,TA player 4,TA player 5,TA player 6,TA player 7,TA player 8,TA player 9,TA player 10,TA player 11,TB player 1,TB player 2,TB player 3,TB player 4,TB player 5,TB player 6,TB player 7,TB player 8,TB player 9,TB player 10,TB player 11
4,26/07/2017,toulouse,rennes,231691,231633,231235,198067,208615,213556,189207,167933,176794,193983,182945,171146,196801,219789,231361,230043,224196,190674,214097,168293,235353,218970
4,27/07/2017,guingamp,strasbourg,190120,210394,167936,204338,169069,190014,213725,226414,192673,134779,228093,224442,204105,235553,223284,47860,197813,200966,220905,235554,197480,236786
4,27/07/2017,angers,lille,199574,184190,189946,190579,212449,178160,226789,209781,230107,219792,221740,215698,198949,220337,210520,225945,236480,211382,234128,226110,216433,201073
4,27/07/2017,monaco,marseille,192593,229712,215792,201042,190547,213565,209499,162347,212692,167397,234924,163705,209329,163083,208520,219681,186253,190502,185221,210896,203280,204970
5,08/08/2017,lille,bordeaux,215698,198949,220337,210520,206436,211382,236480,225945,234128,226110,216433,158121,221271,215699,233219,222715,217605,112253,184271,222737,201073,224218
5,08/08/2017,metz,paris-sg,180739,203581,178111,215379,225859,157392,218623,112365,183820,183982,188289,193105,207865,202371,183512,225850,210008,202166,49370,190871,231747,179813
5,09/08/2017,nice,monaco,221130,215703,193470,192725,150590,225199,216451,230020,206467,186627,216388,192593,215792,190547,229712,201042,209499,213565,162347,212692,167397,234924
5,09/08/2017,caen,dijon,5594,179789,212219,227222,222926,240802,163804,184706,230042,208017,188397,204240,210434,237548,225934,197937,213030,198817,205257,212613,210722,193226
5,09/08/2017,troyes,toulouse,190195,201523,181559,208449,231098,175462,216237,206506,233550,163796,212428,231691,231633,198067,208615,231235,213556,197681,189207,167933,211239,193983
5,09/08/2017,montpellier,nantes,200726,200677,202562,226166,153260,225126,234612,192242,227667,198819,183389,201325,216643,207924,203884,219693,226515,199393,209304,210450,208787,204819
5,09/08/2017,strasbourg,amiens,224442,47860,235553,223284,204105,197813,200966,220905,235554,197480,230857,176994,157585,186567,234624,204886,234514,186197,159047,203128,169281,211321
